week	pond	cage	genotype	biomass	count	area
w2	1	Control	Sp21	4.4	44	5.864275197
w2	1	Control	Sp56	3.6	45	4.547573868
w2	1	Control	Sp58	4.8	47	5.305706522
w2	1	Control	Sp65	4.9	36	6.001797815
w2	1	Herbivory	Sp21	3.9	49	6.773110405
w2	1	Herbivory	Sp56	3.5	36	6.618635655
w2	1	Herbivory	Sp58	5.7	32	4.257209558
w2	1	Herbivory	Sp65	5.2	37	5.890752864
w2	2	Control	Sp21	3.7	49	5.828827605
w2	2	Control	Sp56	2.8	45	3.970385675
w2	2	Control	Sp58	5	46	5.192715412
w2	2	Control	Sp65	5	39	5.5962074
w2	2	Herbivory	Sp21	4.7	43	5.641335715
w2	2	Herbivory	Sp56	3.1	46	4.471739428
w2	2	Herbivory	Sp58	4.4	38	5.535255109
w2	2	Herbivory	Sp65	12.3	33	5.698541552
w2	3	Control	Sp21	4.1	43	6.375601044
w2	3	Control	Sp56	5.9	56	4.545033113
w2	3	Control	Sp58	4.8	43	5.717987387
w2	3	Control	Sp65	5	49	5.969606442
w2	3	Herbivory	Sp21	3.4	39	5.590604027
w2	3	Herbivory	Sp56	3.5	47	5
w2	3	Herbivory	Sp58	4.1	54	6.085190558
w2	3	Herbivory	Sp65	5.2	37	6.382310231
w2	4	Control	Sp21	2.7	40	4.379213483
w2	4	Control	Sp56	2.6	43	4.051825377
w2	4	Control	Sp58	3.4	45	6.002661344
w2	4	Control	Sp65	3.7	39	5.154990167
w2	4	Herbivory	Sp21	2.7	45	4.565371025
w2	4	Herbivory	Sp56	3.7	39	4.24807396
w2	4	Herbivory	Sp58	3.9	38	5.32660066
w2	4	Herbivory	Sp65	3.8	50	6.437204414
w2	5	Control	Sp21	2.9	39	4.488536837
w2	5	Control	Sp56	2.6	41	3.489242805
w2	5	Control	Sp58	3.4	50	6.748862011
w2	5	Control	Sp65	5.1	36	5.333941131
w2	5	Herbivory	Sp21	3.2	41	5.218647489
w2	5	Herbivory	Sp56	2.4	55	5.464512712
w2	5	Herbivory	Sp58	4	66	6.233434114
w2	5	Herbivory	Sp65	4.6	33	5.331162912
w2	6	Control	Sp21	3.2	44	5.125279348
w2	6	Control	Sp56	2.7	59	4.685060934
w2	6	Control	Sp58	4.5	60	6.464007649
w2	6	Control	Sp65	6.1	57	7.685777593
w2	6	Herbivory	Sp21	3.6	53	6.30760095
w2	6	Herbivory	Sp56	3.2	52	4.502103406
w2	6	Herbivory	Sp58	5.1	54	6.22184806
w2	6	Herbivory	Sp65	5.4	59	7.134720555
w2	7	Control	Sp21	4.2	50	6.308606945
w2	7	Control	Sp56	3.1	44	4.53717897
w2	7	Control	Sp58	4.7	51	5.801447915
w2	7	Control	Sp65	5.3	39	6.126542324
w2	7	Herbivory	Sp21	3.9	43	5.669059965
w2	7	Herbivory	Sp56	3.5	41	4.096368715
w2	7	Herbivory	Sp58	4.9	37	5.34491769
w2	7	Herbivory	Sp65	5.7	39	6.557575758
w2	8	Control	Sp21	2.4	37	5.167407214
w2	8	Control	Sp56	3.5	50	4.407711674
w2	8	Control	Sp58	4.4	48	5.287286884
w2	8	Control	Sp65	6.4	52	6.851099594
w2	8	Herbivory	Sp21	3.8	50	5.666575342
w2	8	Herbivory	Sp56	3.9	49	4.609991832
w2	8	Herbivory	Sp58	4.8	44	5.124385582
w2	8	Herbivory	Sp65	5.1	34	5.897519317
w2	9	Control	Sp21	3.4	42	5.088227513
w2	9	Control	Sp56	3.3	43	4.324592391
w2	9	Control	Sp58	4.5	36	5.833425721
w2	9	Control	Sp65	6.7	46	5.840920716
w2	9	Herbivory	Sp21	3.8	43	6.092389817
w2	9	Herbivory	Sp56	3.3	41	3.923452978
w2	9	Herbivory	Sp58	3.5	37	4.447437238
w2	9	Herbivory	Sp65	5.6	45	6.607851072
w2	10	Control	Sp21	3	44	4.963239075
w2	10	Control	Sp56	3.6	42	4.226288377
w2	10	Control	Sp58	4.4	40	4.980029686
w2	10	Control	Sp65	5.4	34	5.820972204
w2	10	Herbivory	Sp21	3.8	43	4.881059063
w2	10	Herbivory	Sp56	2.9	39	3.864040487
w2	10	Herbivory	Sp58	4.1	37	5.0133606
w2	10	Herbivory	Sp65	6.1	40	6.26557782
w4	1	Control	Sp21	3.2	39	5.630185697
w4	1	Control	Sp56	4.3	43	5.422410372
w4	1	Control	Sp58	5	38	6.197881298
w4	1	Control	Sp65	6.8	31	6.059581976
w4	1	Herbivory	Sp21	4.1	40	6.015853983
w4	1	Herbivory	Sp56	4.3	36	5.591118957
w4	1	Herbivory	Sp58	6.1	42	6.956408248
w4	1	Herbivory	Sp65	6.3	32	6.37012897
w4	2	Control	Sp58	5.6	41	6.628764348
w4	2	Control	Sp65	9.2	57	6.195751934
w4	2	Control	Sp21	5.2	37	5.414916246
w4	2	Control	Sp56	4.4	44	7.361278491
w4	2	Herbivory	Sp21	4.7	37	5.949065294
w4	2	Herbivory	Sp56	4.8	45	5.348219032
w4	2	Herbivory	Sp58	4.7	38	6.345701232
w4	2	Herbivory	Sp65	5.1	35	5.507864861
w4	3	Control	Sp21	1.3	35	4.984958293
w4	3	Control	Sp56	2.5	43	4.92547218
w4	3	Control	Sp58	5.6	38	6.55075188
w4	3	Control	Sp65	7.7	37	6.379234066
w4	3	Herbivory	Sp21	4.8	38	5.715871106
w4	3	Herbivory	Sp56	3.6	46	4.820836098
w4	3	Herbivory	Sp58	5.1	42	6.358330062
w4	3	Herbivory	Sp65	6.5	39	6.007035947
w4	4	Control	Sp21	3.7	37	4.5639575
w4	4	Control	Sp56	4.6	48	4.874262489
w4	4	Control	Sp58	4.6	48	5.60941653
w4	4	Control	Sp65	3.5	39	5.520954138
w4	4	Herbivory	Sp21	3.7	39	6.199816442
w4	4	Herbivory	Sp56	3.9	48	4.913446055
w4	4	Herbivory	Sp58	3.3	44	5.702246478
w4	4	Herbivory	Sp65	7.3	53	8.714119322
w4	5	Control	Sp21	3.7	43	5.737285903
w4	5	Control	Sp56	3.4	60	4.738526095
w4	5	Control	Sp58	4.5	57	7.478113634
w4	5	Control	Sp65	4.6	39	5.915444118
w4	5	Herbivory	Sp21	2.9	37	4.714096975
w4	5	Herbivory	Sp56	3.5	41	5.191967767
w4	5	Herbivory	Sp58	4.5	44	5.741103662
w4	5	Herbivory	Sp65	5.6	31	6.336850232
w4	6	Control	Sp21	4.9	44	6.173419773
w4	6	Control	Sp56	4.6	44	5.929370057
w4	6	Control	Sp58	5.9	40	7.115582531
w4	6	Control	Sp65	6.9	39	6.686022681
w4	6	Herbivory	Sp21	5.4	35	6.059832523
w4	6	Herbivory	Sp56	3.2	46	4.885859396
w4	6	Herbivory	Sp58	4.7	35	6.067284119
w4	6	Herbivory	Sp65	4.9	37	5.977745203
w4	7	Control	Sp21	3.4	41	5.803858068
w4	7	Control	Sp56	3.7	54	5.933479033
w4	7	Control	Sp58	4.9	58	6.916721055
w4	7	Control	Sp65	4.9	39	6.698217822
w4	7	Herbivory	Sp21	4.9	35	5.919305277
w4	7	Herbivory	Sp56	4.7	37	4.536738596
w4	7	Herbivory	Sp58	5	34	5.831052014
w4	7	Herbivory	Sp65	6.2	38	6.297127937
w4	8	Control	Sp21	4.1	39	5.967945417
w4	8	Control	Sp56	7.7	42	5.165574428
w4	8	Control	Sp58	4.8	45	6.37437985
w4	8	Control	Sp65	4.3	46	6.890370935
w4	8	Herbivory	Sp21	4.6	38	5.488582677
w4	8	Herbivory	Sp56	4.5	46	5.327073955
w4	8	Herbivory	Sp58	5.1	41	4.89045674
w4	8	Herbivory	Sp65	5	38	6.992991564
w4	9	Control	Sp21	3.2	45	5.616009134
w4	9	Control	Sp56	2.6	41	4.59009247
w4	9	Control	Sp58	3.6	35	5.518679077
w4	9	Control	Sp65	5.5	38	5.930676138
w4	9	Herbivory	Sp21	2.9	38	5.76572035
w4	9	Herbivory	Sp56	2.7	45	5.181184669
w4	9	Herbivory	Sp58	4.9	35	6.20984081
w4	9	Herbivory	Sp65	4.5	39	6.376094866
w4	10	Control	Sp21	3.7	51	5.839554243
w4	10	Control	Sp56	4.6	48	5.885832554
w4	10	Control	Sp58	4.4	46	6.421115222
w4	10	Control	Sp65	7.6	36	6.693619289
w4	10	Herbivory	Sp21	2.6	43	5.323028141
w4	10	Herbivory	Sp56	3.7	47	4.733178654
w4	10	Herbivory	Sp58	5.5	44	6.429559322
w4	10	Herbivory	Sp65	6.8	33	6.089025026
w8	6	Control	Sp21	5.3	50	7.407705158
w8	6	Control	Sp56	5.3	47	6.152822876
w8	6	Control	Sp58	6	45	6.663921569
w8	6	Control	Sp65	7.1	36	6.764990532
w8	6	Herbivory	Sp21	4.2	42	6.658517526
w8	6	Herbivory	Sp56	3.2	42	4.768527668
w8	6	Herbivory	Sp58	6.2	56	8.112237762
w8	6	Herbivory	Sp65	4.7	52	6.224441047
w8	1	Control	Sp21	4.4	48	6.298088178
w8	1	Control	Sp56	3.5	49	6.248224299
w8	1	Control	Sp58	4.9	43	7.854151177
w8	1	Control	Sp65	7.6	42	7.031869688
w8	2	Control	Sp21	3.9	37	4.972774169
w8	2	Control	Sp56	5.1	48	6.93139877
w8	2	Control	Sp58	5.4	54	6.904551759
w8	2	Control	Sp65	5.4	57	7.752398082
w8	3	Control	Sp21	4.5	48	8.067614738
w8	3	Control	Sp56	5.1	35	4.074596332
w8	3	Control	Sp58	6	43	6.547330765
w8	3	Control	Sp65	5.6	44	5.554680831
w8	1	Herbivory	Sp21	5.2	38	7.628205128
w8	1	Herbivory	Sp56	2.8	27	4.670136187
w8	1	Herbivory	Sp58	5.8	33	4.726161175
w8	1	Herbivory	Sp65	6.4	26	5.062246151
w8	2	Herbivory	Sp21	3.8	34	5.404908627
w8	2	Herbivory	Sp56	3.8	27	3.793109146
w8	2	Herbivory	Sp58	4	42	6.290711069
w8	2	Herbivory	Sp65	4.6	38	5.33902462
w8	3	Herbivory	Sp21	3	33	4.344782266
w8	3	Herbivory	Sp56	3.7	27	5.559456265
w8	3	Herbivory	Sp58	4.9	42	3.839154055
w8	3	Herbivory	Sp65	4.8	49	7.287661231
w8	5	Control	Sp21	3.3	43	3.922773469
w8	5	Control	Sp56	3.2	35	3.081648437
w8	5	Control	Sp58	4.8	49	4.625125691
w8	5	Control	Sp65	5.2	43	4.750997606
w8	5	Herbivory	Sp21	4.6	54	4.187482459
w8	5	Herbivory	Sp56	3.2	59	5.335803776
w8	5	Herbivory	Sp58	3.8	58	4.306332288
w8	5	Herbivory	Sp65	5.3	58	8.039060569
w8	7	Control	Sp21	5.3	47	8.446188341
w8	7	Control	Sp56	6.9	53	3.945176314
w8	7	Control	Sp58	6.8	49	8.271538462
w8	7	Control	Sp65	5.9	53	11.52785924
w8	7	Herbivory	Sp21	4.4	55	6.32387144
w8	7	Herbivory	Sp56	5.4	47	6.703514817
w8	7	Herbivory	Sp58	8.2	40	8.0058265
w8	7	Herbivory	Sp65	4.5	46	6.915743073
w8	4	Control	Sp21	1.9	42	6.724382064
w8	4	Control	Sp56	2.9	41	2.756524962
w8	4	Control	Sp58	4.1	48	6.643339608
w8	4	Control	Sp65	3.4	43	5.421165049
w8	4	Herbivory	Sp21	3.1	44	6.488754107
w8	4	Herbivory	Sp56	3.1	41	5.721309631
w8	4	Herbivory	Sp58	4.5	44	7.360268491
w8	4	Herbivory	Sp65	5.4	46	7.587806655
w8	10	Herbivory	Sp21	4.2	48	8.389773341
w8	10	Herbivory	Sp56	11.2	44	6.753864033
w8	10	Herbivory	Sp58	6.8	47	8.276552869
w8	10	Herbivory	Sp65	9.3	42	6.615325077
w8	10	Control	Sp21	3.6	43	2.872447583
w8	10	Control	Sp56	3.1	40	4.110074304
w8	10	Control	Sp58	5	44	7.985415489
w8	10	Control	Sp65	4.8	38	5.639417587
w8	9	Herbivory	Sp21	4.3	57	7.860229885
w8	9	Herbivory	Sp56	3.8	56	6.36663536
w8	9	Herbivory	Sp58	6	59	7.968333333
w8	9	Herbivory	Sp65	6.4	58	7.45832565
w8	8	Control	Sp21	4.3	52	6.411143442
w8	8	Control	Sp56	5.4	46	6.186674459
w8	8	Control	Sp58	6.4	42	4.77949621
w8	8	Control	Sp65	7.3	51	8.537997587
w8	9	Control	Sp21	2.9	47	6.634176927
w8	9	Control	Sp56	4.5	44	4.115001142
w8	9	Control	Sp58	4.9	41	4.712756775
w8	9	Control	Sp65	6.5	39	7.387150308
w8	8	Herbivory	Sp21	5.2	45	6.857842021
w8	8	Herbivory	Sp56	4.1	49	6.195254507
w8	8	Herbivory	Sp58	7.9	56	7.68044778
w8	8	Herbivory	Sp65	6	48	7.27114094
