pond	cage	biomass	counts	area
1	Control	22	107	1705.152525
1	Control	18.5	103	1564.412854
1	Control	23.1	90	1533.795424
1	Control	20	92	1526.107471
1	Herbivory	23.5	84	1424.879127
1	Herbivory	19.3	78	1254.993695
1	Herbivory	17.5	90	1453.672393
1	Herbivory	19	112	1704.642116
2	Control	24.8	129	2063.828633
2	Control	23	117	1996.238125
2	Control	19.5	117	1586.236216
2	Control	24	130	1883.070712
2	Herbivory	21.4	122	1432.536693
2	Herbivory	21.7	120	1389.97365
2	Herbivory	20.4	115	1538.734589
2	Herbivory	22.2	127	1540.140361
3	Control	27.1	148	2234.976089
3	Control	23.9	168	2204.398481
3	Control	23.1	128	2128.811777
3	Control	23	137	2183.389963
3	Herbivory	25.4	138	1834.43613
3	Herbivory	19.5	122	1599.216676
3	Herbivory	22.3	130	1594.995341
3	Herbivory	21.2	118	1417.914534
4	Control	26	154	2454.64025
4	Control	27.7	166	2483.111538
4	Control	27.8	168	2469.747568
4	Control	25.9	153	2405.471204
4	Herbivory	23.3	142	1640.421381
4	Herbivory	19.5	136	1549.552006
4	Herbivory	22.1	133	1533.191884
4	Herbivory	21.8	133	1453.781951
5	Control	18.6	96	1451.431519
5	Control	19.3	97	1283.10739
5	Control	19.3	105	1519.723764
5	Control	17	111	1577.725978
5	Herbivory	15.2	79	929.3993955
5	Herbivory	17.3	82	1008.556955
5	Herbivory	19	88	1097.887128
5	Herbivory	18.5	91	1032.972009
6	Control	18.4	87	1318.493745
6	Control	18.7	93	1438.527242
6	Control	16.7	98	1349.250646
6	Control	18.5	85	1368.82793
6	Herbivory	14.8	67	1005.789964
6	Herbivory	17.8	93	1372.684055
6	Herbivory	18.6	104	1268.055197
6	Herbivory	19	76	1094.851583
7	Control	18	133	1614.986408
7	Control	19.5	112	1628.225806
7	Control	20.7	127	1899.428145
7	Control	18.7	110	1754.491315
7	Herbivory	19.3	130	1355.50989
7	Herbivory	18.6	97	1137.931474
7	Herbivory	19.5	110	1263.359567
7	Herbivory	19.2	109	1199.091826
8	Control	25.8	153	2233.58209
8	Control	21.5	129	1904.764882
8	Control	21.4	150	1956.24523
8	Control	19.2	125	1793.003696
8	Herbivory	17.8	111	1234.187167
8	Herbivory	20.2	117	1354.455571
8	Herbivory	22.1	128	1447.680476
8	Herbivory	19.3	126	1444.895038
9	Control	24.9	171	2437.603474
9	Control	27.6	184	2604.296774
9	Control	24.4	148	2535.405133
9	Control	28.8	131	2196.363636
9	Herbivory	28	137	1975.274445
9	Herbivory	22.7	114	1632.068665
9	Herbivory	21.8	130	1742.231601
9	Herbivory	23	126	1829.957589
10	Control	23.6	126	2018.365485
10	Control	25.6	140	2282.02649
10	Control	21.7	115	1881.895759
10	Control	20.5	118	1804.104334
10	Herbivory	14.7	91	1116.164754
10	Herbivory	19.9	104	1326.438754
10	Herbivory	19.2	99	1346.152851
10	Herbivory	20.8	106	1355.473241
