pond	cage	genotype	consumed	area	biomass
8	Herbivory	Sp21	59	8.790087464	0.214392377
8	Herbivory	Sp56	33	10.44390244	0.155879141
8	Herbivory	Sp58	19	13.8505142	0.170994002
8	Herbivory	Sp65	18	17.41531265	0.212381862
9	Control	Sp58	19	16.19034586	0.199880813
9	Control	Sp65	19	13.89746094	0.171573592
2	Control	Sp56	19	8.09853052	0.099981858
2	Control	Sp21	21	15.04241597	0.190410329
3	Herbivory	Sp58	34	11.01772616	0.166935245
3	Herbivory	Sp21	28	12.98814229	0.180390865
3	Control	Sp56	49	4.227083333	0.082883987
3	Control	Sp65	43	11.61918415	0.203845336
2	Herbivory	Sp58	23	15.19799721	0.197376587
2	Herbivory	Sp65	5	15.90619162	0.167433596
9	Herbivory	Sp56	59	6.544664126	0.159625954
3	Herbivory	Sp56	6	12.11899096	0.128925436
8	Control	Sp21	37	10.70868278	0.169979092
8	Control	Sp56	38	9.307569509	0.150122089
2	Control	Sp65	11	18.1223195	0.203621567
2	Control	Sp58	31	11.24555298	0.162979029
2	Herbivory	Sp56	34	11.22765536	0.17011599
2	Herbivory	Sp21	43	9.468103448	0.166107078
3	Control	Sp58	7	16.45823606	0.17697028
3	Control	Sp21	28	12.85587999	0.178553889
1	Herbivory	Sp65	19	15.14193066	0.186937416
6	Control	Sp56	20	10.5205831	0.131507289
6	Control	Sp21	11	16.8022997	0.188789884
1	Control	Sp56	20	11.77187794	0.147148474
1	Control	Sp21	10	14.59779777	0.162197753
6	Herbivory	Sp58	20	12.86930258	0.160866282
6	Herbivory	Sp65	7	16.45706687	0.176957708
6	Herbivory	Sp21	11	16.12036923	0.181127744
5	Herbivory	Sp65	10	16.35314242	0.181701582
5	Herbivory	Sp58	29	11.73070137	0.165221146
6	Control	Sp58	36	15.05802533	0.235281646
6	Control	Sp65	24	15.15079469	0.199352562
7	Control	Sp58	48	7.858333333	0.151121795
7	Control	Sp65	30	14.60493344	0.208641906
10	Herbivory	Sp56	27	10.60062344	0.14521402
10	Herbivory	Sp21	4	14.74345099	0.153577614
1	Control	Sp65	25	15.55688381	0.207425118
1	Control	Sp58	26	16.71197155	0.225837453
5	Herbivory	Sp21	43	11.00090253	0.19299829
5	Herbivory	Sp56	17	13.69061266	0.16494714
7	Control	Sp21	54	10.25283688	0.222887758
7	Control	Sp56	6	14.50798376	0.154340253
5	Control	Sp58	28	14.42898333	0.200402546
5	Control	Sp21	35	10.9686124	0.168747883
1	Herbivory	Sp21	32	12.70771364	0.186878142
9	Control	Sp21	72	7.157152021	0.255612572
9	Control	Sp56	65	6.220109607	0.177717417
8	Control	Sp58	26	16.0608595	0.217038642
8	Control	Sp65	37	14.01006756	0.222382025
9	Herbivory	Sp58	10	15.5418613	0.172687348
4	Control	Sp21	22	12.21515743	0.156604582
4	Control	Sp56	32	8.45532819	0.124343062
4	Control	Sp58	21	12.15050505	0.153803861
4	Control	Sp65	12	16.6001567	0.188638144
10	Herbivory	Sp58	21	15.8407845	0.20051626
10	Herbivory	Sp65	10	16.89081633	0.187675737
4	Herbivory	Sp65	36	11.68918058	0.182643447
4	Herbivory	Sp56	38	8.680005283	0.140000085
10	Control	Sp65	21	14.28724227	0.180851168
10	Control	Sp21	4	17.01553374	0.177245143
10	Control	Sp56	21	12.11702269	0.153380034
5	Control	Sp56	49	8.6125699	0.16887392
5	Control	Sp65	24	13.47112531	0.177251649
7	Herbivory	Sp58	12	16.02283638	0.182077686
7	Herbivory	Sp65	18	14.3414144	0.174895298
7	Herbivory	Sp21	12	14.24222686	0.161843487
7	Herbivory	Sp56	32	9.718585699	0.142920378
4	Herbivory	Sp58	3	16.88921206	0.174115588
4	Herbivory	Sp21	12	14.38195605	0.163431319
