pond	cage	biomass	area
1	Control	9.86	7.657500495
1	Herbivory	11.86	7.23415698
2	Control	8.86	7.747464233
2	Herbivory	10.22	6.893543998
3	Control	9.89	8.19090031
3	Herbivory	10.17	6.897604343
4	Control	8.44	7.788587228
4	Herbivory	9.56	7.010066476
5	Control	9.77	8.12348662
5	Herbivory	11.1	6.03190217
6	Control	9.46	8.440719943
6	Herbivory	9.6	7.543049586
7	Control	9.68	8.065508018
7	Herbivory	10.87	6.619701893
8	Control	9.9	8.238835981
8	Herbivory	11.92	7.123318671
9	Control	8.72	8.980508468
9	Herbivory	9.65	7.673835387
10	Control	8.8	7.715970578
10	Herbivory	10.43	6.771585367
