"Genus"
"Taxon_1" "Ankyra judayi"
"Taxon_2" "Aphanochaete confervicola"
"Taxon_3" "Aphanochaete elegans"
"Taxon_4" "Auxenochlorella protothecoides"
"Taxon_5" "Bathycoccus prasinos"
"Taxon_6" "Blidingia minima"
"Taxon_7" "Boodleopsis pusilla"
"Taxon_8" "Boodleopsis sp. H.0758"
"Taxon_9" "Botryococcus braunii"
"Taxon_10" "Bracteacoccus aerius"
"Taxon_11" "Bracteacoccus giganteus"
"Taxon_12" "Bracteacoccus minor"
"Taxon_13" "Bryopsis hypnoides"
"Taxon_14" "Bryopsis plumosa"
"Taxon_15" "Bryopsis sp. HV04063"
"Taxon_16" "Callipsygma wilsonis"
"Taxon_17" "Capsosiphon fulvescens"
"Taxon_18" "Carteria cerasiformis"
"Taxon_19" "Caulerpa ashmeadii"
"Taxon_20" "Caulerpa cliftonii"
"Taxon_21" "Caulerpa lentillifera"
"Taxon_22" "Caulerpa manorensis"
"Taxon_23" "Caulerpa racemosa"
"Taxon_24" "Caulerpa verticillata"
"Taxon_25" "Chaetophoropsis polyrhiza"
"Taxon_26" "Chaetosphaeridium globosum"
"Taxon_27" "Chara vulgaris"
"Taxon_28" "Characiochloris acuminata"
"Taxon_29" "Chlamydomonas leiostraca"
"Taxon_30" "Chlamydomonas moewusii"
"Taxon_31" "Chlamydomonas reinhardtii"
"Taxon_32" "Chlorella heliozoae"
"Taxon_33" "Chlorella sorokiniana"
"Taxon_34" "Chlorella variabilis"
"Taxon_35" "Chlorella vulgaris"
"Taxon_36" "Chlorococcum tatrense"
"Taxon_37" "Chlorodesmis fastigiata"
"Taxon_38" "Chlorokybus atmophyticus"
"Taxon_39" "Chloroparvula japonica"
"Taxon_40" "Chloroparvula pacifica"
"Taxon_41" "Chloropicon laureae"
"Taxon_42" "Chloropicon mariensis"
"Taxon_43" "Chloropicon maureeniae"
"Taxon_44" "Chloropicon primus"
"Taxon_45" "Chloropicon roscoffensis"
"Taxon_46" "Chloropicon sieburthii"
"Taxon_47" "Chlorosarcinopsis eremi"
"Taxon_48" "Chlorotetraedron incus"
"Taxon_49" "Choricystis parasitica"
"Taxon_50" "Chromochloris zofingiensis"
"Taxon_51" "Closterium baillyanum"
"Taxon_52" "Coccomyxa subellipsoidea"
"Taxon_53" "Codium arabicum"
"Taxon_54" "Codium arenicola"
"Taxon_55" "Codium fragile"
"Taxon_56" "Codium simulans"
"Taxon_57" "Coelastrella saipanensis"
"Taxon_58" "Colemanosphaera angeleri"
"Taxon_59" "Coleochaete scutata"
"Taxon_60" "Cosmarium botrytis"
"Taxon_61" "Cylindrocystis brebissonii"
"Taxon_62" "Cymbomonas tetramitiformis"
"Taxon_63" "Derbesia sp. WEST4838"
"Taxon_64" "Dicloster acuatus"
"Taxon_65" "Dunaliella salina"
"Taxon_66" "Edaphochlamys debaryana"
"Taxon_67" "Edaphochlorella mirabilis"
"Taxon_68" "Elliptochloris bilobata"
"Taxon_69" "Entransia fimbriata"
"Taxon_70" "Floydiella terrestris"
"Taxon_71" "Fusochloris perforata"
"Taxon_72" "Geminella minor"
"Taxon_73" "Gloeotilopsis sterilis"
"Taxon_74" "Gonium pectorale"
"Taxon_75" "Haematococcus lacustris"
"Taxon_76" "Hafniomonas laevis"
"Taxon_77" "Hazenia capsulata"
"Taxon_78" "Helicosporidium sp. ex Simulium jonesi"
"Taxon_79" "Hydrodictyon reticulatum"
"Taxon_80" "Interfilum terricola"
"Taxon_81" "Jaagichlorella hainangensis"
"Taxon_82" "Jaagichlorella roystonensis"
"Taxon_83" "Jenufa minuta"
"Taxon_84" "Jenufa perforata"
"Taxon_85" "Kirchneriella aperta"
"Taxon_86" "Klebsormidium flaccidum"
"Taxon_87" "Koliella corcontica"
"Taxon_88" "Koliella longiseta"
"Taxon_89" "Lacunastrum gracillimum"
"Taxon_90" "Lambia antarctica"
"Taxon_91" "Lobosphaera incisa"
"Taxon_92" "Marvania geminata"
"Taxon_93" "Mesostigma viride"
"Taxon_94" "Micractinium conductrix"
"Taxon_95" "Micractinium variabile"
"Taxon_96" "Micromonas commoda"
"Taxon_97" "Micromonas pusilla"
"Taxon_98" "Microrhizoidea pickettheapsiorum"
"Taxon_99" "Microspora stagnorum"
"Taxon_100" "Microthamnion kuetzingianum"
"Taxon_101" "Monomastix sp. OKE-1"
"Taxon_102" "Monoraphidium neglectum"
"Taxon_103" "Mychonastes homosphaera"
"Taxon_104" "Mychonastes jurisii"
"Taxon_105" "Myrmecia israeliensis"
"Taxon_106" "Neochloris aquatica"
"Taxon_107" "Neocystis brevis"
"Taxon_108" "Neodangemannia microcystis"
"Taxon_109" "Nephroselmis astigmatica"
"Taxon_110" "Nephroselmis olivacea"
"Taxon_111" "Nephroselmis pyriformis"
