"Genus"
"Taxon_1" "[Arcobacter] porcinus"
"Taxon_2" "[Candida] glabrata"
"Taxon_3" "[Clostridium] hylemonae"
"Taxon_4" "[Clostridium] innocuum"
"Taxon_5" "[Clostridium] scindens"
"Taxon_6" "[Enterobacter] lignolyticus"
"Taxon_7" "[Eubacterium] cellulosolvens"
"Taxon_8" "[Haemophilus] ducreyi"
"Taxon_9" "[Mannheimia] succiniciproducens"
"Taxon_10" "[Micrococcus] candicans"
"Taxon_11" "[Mycobacterium] stephanolepidis"
"Taxon_12" "[Ochrobactrum] quorumnocens"
"Taxon_13" "[Phormidium] sp. ETS-05"
"Taxon_14" "[Ruminococcus] gnavus"
"Taxon_15" "[Ruminococcus] torques"
"Taxon_16" "Abiotrophia defectiva"
"Taxon_17" "Abyssicoccus albus"
"Taxon_18" "Abyssogena phaseoliformis symbiont"
"Taxon_19" "Acanthamoeba polyphaga mimivirus"
"Taxon_20" "Acaryochloris marina"
"Taxon_21" "Acetilactobacillus jinshanensis"
"Taxon_22" "Acetivibrio clariflavus"
"Taxon_23" "Acetivibrio saccincola"
"Taxon_24" "Acetivibrio thermocellus"
"Taxon_25" "Acetoanaerobium sticklandii"
"Taxon_26" "Acetobacter aceti"
"Taxon_27" "Acetobacter ascendens"
"Taxon_28" "Acetobacter ghanensis"
"Taxon_29" "Acetobacter orientalis"
"Taxon_30" "Acetobacter oryzifermentans"
"Taxon_31" "Acetobacter oryzoeni"
"Taxon_32" "Acetobacter pasteurianus"
"Taxon_33" "Acetobacter persici"
"Taxon_34" "Acetobacter senegalensis"
"Taxon_35" "Acetobacter sp. KACC 21233"
"Taxon_36" "Acetobacter tropicalis"
"Taxon_37" "Acetobacterium sp. KB-1"
"Taxon_38" "Acetobacterium woodii"
"Taxon_39" "Acetohalobium arabaticum"
"Taxon_40" "Acholeplasma axanthum"
"Taxon_41" "Acholeplasma hippikon"
"Taxon_42" "Acholeplasma laidlawii"
"Taxon_43" "Acholeplasma palmae"
"Taxon_44" "Achromobacter deleyi"
"Taxon_45" "Achromobacter denitrificans"
"Taxon_46" "Achromobacter insolitus"
"Taxon_47" "Achromobacter pestifer"
"Taxon_48" "Achromobacter ruhlandii"
"Taxon_49" "Achromobacter sp. AONIH1"
"Taxon_50" "Achromobacter sp. B7"
"Taxon_51" "Achromobacter sp. MFA1 R4"
"Taxon_52" "Achromobacter spanius"
"Taxon_53" "Achromobacter xylosoxidans"
"Taxon_54" "Acidaminococcus fermentans"
"Taxon_55" "Acidaminococcus intestini"
"Taxon_56" "Acidianus hospitalis"
"Taxon_57" "Acidibrevibacterium fodinaquatile"
"Taxon_58" "Acidiferrobacter sp. SPIII_3"
"Taxon_59" "Acidihalobacter aeolianus"
"Taxon_60" "Acidihalobacter ferrooxydans"
"Taxon_61" "Acidihalobacter yilgarnenesis"
"Taxon_62" "Acidilobus saccharovorans"
"Taxon_63" "Acidimicrobium ferrooxidans"
"Taxon_64" "Acidiphilium cryptum"
"Taxon_65" "Acidiphilium multivorum"
"Taxon_66" "Acidipropionibacterium acidipropionici"
"Taxon_67" "Acidipropionibacterium jensenii"
"Taxon_68" "Acidipropionibacterium virtanenii"
"Taxon_69" "Acidisarcina polymorpha"
"Taxon_70" "Acidithiobacillus caldus"
"Taxon_71" "Acidithiobacillus ferridurans"
"Taxon_72" "Acidithiobacillus ferrivorans"
"Taxon_73" "Acidithiobacillus ferrooxidans"
"Taxon_74" "Acidithiobacillus sp. AMD consortium"
"Taxon_75" "Acidithiobacillus thiooxidans"
"Taxon_76" "Acidobacterium capsulatum"
"Taxon_77" "Acidobacterium sp. 4Y35"
"Taxon_78" "Acidothermus cellulolyticus"
"Taxon_79" "Acidovorax antarcticus"
"Taxon_80" "Acidovorax avenae"
"Taxon_81" "Acidovorax carolinensis"
"Taxon_82" "Acidovorax cattleyae"
"Taxon_83" "Acidovorax citrulli"
"Taxon_84" "Acidovorax ebreus"
"Taxon_85" "Acidovorax monticola"
"Taxon_86" "Acidovorax sp. 1608163"
"Taxon_87" "Acidovorax sp. HDW3"
"Taxon_88" "Acidovorax sp. JMULE5"
"Taxon_89" "Acidovorax sp. JS42"
"Taxon_90" "Acidovorax sp. KKS102"
"Taxon_91" "Acidovorax sp. RAC01"
"Taxon_92" "Acidovorax sp. T1"
"Taxon_93" "Aciduliprofundum sp. MAR08-339"
"Taxon_94" "Acinetobacter baumannii"
"Taxon_95" "Acinetobacter baylyi"
"Taxon_96" "Acinetobacter bereziniae"
"Taxon_97" "Acinetobacter calcoaceticus"
"Taxon_98" "Acinetobacter chinensis"
"Taxon_99" "Acinetobacter cumulans"
"Taxon_100" "Acinetobacter defluvii"
"Taxon_101" "Acinetobacter dispersus"
"Taxon_102" "Acinetobacter equi"
