SampleID	category	pond	cage	week
A_1	mix	mix	mix_25	w0
A_2	mix	mix	mix_25	w0
A_3	mix	mix	mix_25	w0
A_4	mix	mix	mix_pond	w0
A_5	mix	mix	mix_pond	w0
A_6	mix	mix	mix_pond	w0
A_7	single_genotype	single_genotype	Sp21	w0
A_8	single_genotype	single_genotype	Sp21	w0
A_9	single_genotype	single_genotype	Sp21	w0
A_10	single_genotype	single_genotype	Sp56	w0
A_11	single_genotype	single_genotype	Sp56	w0
A_12	single_genotype	single_genotype	Sp56	w0
A_13	single_genotype	single_genotype	Sp58	w0
A_14	single_genotype	single_genotype	Sp58	w0
A_15	single_genotype	single_genotype	Sp58	w0
A_16	single_genotype	single_genotype	Sp65	w0
A_17	single_genotype	single_genotype	Sp65	w0
A_18	single_genotype	single_genotype	Sp65	w0
A_19	pond	1	A_ctr	w08
A_20	pond	1	B_herb	w08
A_21	pond	2	A_ctr	w08
A_22	pond	2	B_herb	w08
A_23	pond	3	A_ctr	w08
A_24	pond	3	B_herb	w08
A_25	pond	4	A_ctr	w08
A_26	pond	4	B_herb	w08
A_27	pond	5	A_ctr	w08
A_28	pond	5	B_herb	w08
A_29	pond	6	A_ctr	w08
A_30	pond	6	B_herb	w08
A_31	pond	7	A_ctr	w08
A_32	pond	7	B_herb	w08
A_33	pond	8	A_ctr	w08
A_34	pond	8	B_herb	w08
A_35	pond	9	A_ctr	w08
A_36	pond	9	B_herb	w08
A_37	pond	10	A_ctr	w08
A_38	pond	10	B_herb	w08
A_39	pond	1	A_ctr	w12
A_40	pond	1	B_herb	w12
A_41	pond	2	A_ctr	w12
A_42	pond	2	B_herb	w12
A_43	pond	3	A_ctr	w12
A_44	pond	3	B_herb	w12
A_45	pond	4	A_ctr	w12
A_46	pond	4	B_herb	w12
A_47	pond	5	A_ctr	w12
A_48	pond	5	B_herb	w12
A_49	pond	6	A_ctr	w12
A_50	pond	6	B_herb	w12
A_51	pond	7	A_ctr	w12
A_52	pond	7	B_herb	w12
A_53	pond	8	A_ctr	w12
A_54	pond	8	B_herb	w12
A_55	pond	9	A_ctr	w12
A_56	pond	9	B_herb	w12
A_57	pond	10	A_ctr	w12
A_58	pond	10	B_herb	w12
A_59	pond	nc	nc	nc
