box	genotype	counts
3	Sp21	378
6	Sp56	355
9	Sp58	495
12	Sp65	252
15	Sp21	528
18	Sp56	282
21	Sp58	479
24	Sp65	412
27	Sp21	324
30	Sp56	317
33	Sp58	480
36	Sp65	307
39	Sp21	489
42	Sp56	324
45	Sp58	507
48	Sp65	511
51	Sp21	447
54	Sp56	382
57	Sp58	461
63	Sp21	422
66	Sp56	391
69	Sp58	436
72	Sp65	464
75	Sp21	486
78	Sp56	237
81	Sp58	424
84	Sp65	431
87	Sp21	423
90	Sp56	293
93	Sp58	312
96	Sp65	78
99	Sp21	412
102	Sp56	156
105	Sp58	443
108	Sp65	443
111	Sp21	369
114	Sp56	352
117	Sp58	387
120	Sp65	288
