pond	genotype	treatment	area_t0	biomass	count_t13	area_t13
2	Sp21	Herbivory	0.094873679	0.01253012	415	0.015300129
2	Sp21	Control	0.141178249	0.01580756	291	0.02113254
2	Sp56	Herbivory	0.063502538	0.011678832	274	0.016119699
2	Sp56	Control	0.084023181	0.016521739	230	0.029984786
2	Sp58	Herbivory	0.092240095	0.021959459	296	0.02106829
2	Sp58	Control	0.13934897	0.033333333	249	0.031606324
2	Sp65	Herbivory	0.080647309	0.02369338	287	0.018974948
2	Sp65	Control	0.166776499	0.0259375	320	0.023696286
3	Sp21	Herbivory	0.090172932	0.02147651	298	0.025429318
3	Sp21	Control	0.138932983	0.01713555	391	0.019342815
3	Sp56	Herbivory	0.053733174	0.011111111	315	0.013838337
3	Sp56	Control	0.087226404	0.013029316	307	0.025452494
3	Sp58	Herbivory	0.076044557	0.022627737	274	0.021050366
3	Sp58	Control	0.140495636	0.026909091	275	0.027158577
3	Sp65	Herbivory	0.092880597	0.019345238	336	0.024770878
3	Sp65	Control	0.156579943	0.021657754	374	0.020123839
5	Sp21	Herbivory	0.08397945	0.020557491	287	0.022002321
5	Sp21	Control	0.095101858	0.020900322	311	0.024067732
5	Sp56	Herbivory	0.074601611	0.013286713	286	0.017159995
5	Sp56	Control	0.062916756	0.013274336	226	0.021082056
5	Sp58	Herbivory	0.085225057	0.029665072	209	0.028052832
5	Sp58	Control	0.12015701	0.02406639	241	0.030268296
5	Sp65	Herbivory	0.071911265	0.027631579	228	0.025917318
5	Sp65	Control	0.111831736	0.029098361	244	0.029062652
6	Sp21	Herbivory	0.101120699	0.027710843	249	0.022651639
6	Sp21	Control	0.113813446	0.016	250	0.025329094
6	Sp56	Herbivory	0.072071547	0.012601626	246	0.025296547
6	Sp56	Control	0.068026884	0.008123791	517	0.011183955
6	Sp58	Herbivory	0.080804312	0.02078853	279	0.020833743
6	Sp58	Control	0.107226821	0.022866894	293	0.026419749
6	Sp65	Herbivory	0.086909657	0.022622951	305	0.021473901
6	Sp65	Control	0.112414684	0.018589744	312	0.020723109
7	Sp21	Herbivory	0.0795855	0.016666667	318	0.01872459
7	Sp21	Control	0.129810721	0.014759036	332	0.020175151
7	Sp56	Herbivory	0.075791634	0.010380623	289	0.013418495
7	Sp56	Control	0.07970394	0.005849582	359	0.020665377
7	Sp58	Herbivory	0.121155205	0.025159236	314	0.023079781
7	Sp58	Control	0.187544238	0.01547619	420	0.017134453
7	Sp65	Herbivory	0.10361114	0.019298246	399	0.019522066
7	Sp65	Control	0.18608347	0.021804511	399	0.022154537
