genotype	replicate	consumed
Sp21	1	11
Sp21	2	7
Sp21	3	10
Sp21	4	-1
Sp21	5	17
Sp21	6	3
Sp21	7	7
Sp21	8	10
Sp21	9	8
Sp21	10	6
Sp21	11	10
Sp21	12	8
Sp56	1	30
Sp56	2	31
Sp56	3	45
Sp56	4	35
Sp56	5	27
Sp56	6	27
Sp56	7	43
Sp56	8	37
Sp56	9	21
Sp56	10	27
Sp56	11	45
Sp56	12	33
Sp58	1	7
Sp58	2	14
Sp58	3	10
Sp58	4	6
Sp58	5	2
Sp58	6	12
Sp58	7	10
Sp58	8	7
Sp58	9	2
Sp58	10	6
Sp58	11	13
Sp58	12	3
Sp65	1	14
Sp65	2	2
Sp65	3	14
Sp65	4	10
Sp65	5	12
Sp65	6	6
Sp65	7	0
Sp65	8	5
Sp65	9	9
Sp65	10	19
Sp65	11	4
Sp65	12	1
