pond	genotype	treatment	consumed
2	mixCTRL	Herbivory	30
2	mixCTRL	Herbivory	41
2	mixCTRL	Herbivory	30
2	mixCTRL	Control	27
2	mixCTRL	Control	52
2	mixCTRL	Control	23
2	mixCTRL	Herbivory	93
2	mixCTRL	Herbivory	70
2	mixCTRL	Herbivory	40
2	mixCTRL	Control	40
2	mixCTRL	Control	3
2	mixCTRL	Control	44
3	mixCTRL	Herbivory	31
3	mixCTRL	Herbivory	22
3	mixCTRL	Herbivory	36
3	mixCTRL	Control	56
3	mixCTRL	Control	26
3	mixCTRL	Control	39
3	mixCTRL	Herbivory	23
3	mixCTRL	Herbivory	25
3	mixCTRL	Herbivory	28
3	mixCTRL	Control	48
3	mixCTRL	Control	27
3	mixCTRL	Control	69
5	mixCTRL	Herbivory	48
5	mixCTRL	Herbivory	8
5	mixCTRL	Herbivory	24
5	mixCTRL	Control	24
5	mixCTRL	Control	32
5	mixCTRL	Control	29
5	mixHERB	Herbivory	28
5	mixHERB	Herbivory	22
5	mixHERB	Herbivory	28
5	mixHERB	Control	57
5	mixHERB	Control	52
5	mixHERB	Control	57
6	mixHERB	Herbivory	41
6	mixHERB	Herbivory	49
6	mixHERB	Herbivory	29
6	mixHERB	Control	NA
6	mixHERB	Control	12
6	mixHERB	Control	31
6	mixHERB	Herbivory	25
6	mixHERB	Herbivory	24
6	mixHERB	Herbivory	15
6	mixHERB	Control	29
6	mixHERB	Control	28
6	mixHERB	Control	18
7	mixHERB	Herbivory	7
7	mixHERB	Herbivory	26
7	mixHERB	Herbivory	31
7	mixHERB	Control	79
7	mixHERB	Control	46
7	mixHERB	Control	60
7	mixHERB	Herbivory	20
7	mixHERB	Herbivory	24
7	mixHERB	Herbivory	36
7	mixHERB	Control	43
7	mixHERB	Control	66
7	mixHERB	Control	53
