SampleID	genotype	pond	cage
B1	Sp21	1	ctrl
B2	Sp65	1	ctrl
B3	Sp21	1	herb
B4	Sp65	1	herb
B5	Sp21	2	ctrl
B6	Sp65	2	ctrl
B7	Sp21	2	herb
B8	Sp65	2	herb
B9	Sp21	3	ctrl
B10	Sp65	3	ctrl
B11	Sp21	3	herb
B12	Sp65	3	herb
B13	Sp21	4	ctrl
B14	Sp65	4	ctrl
B15	Sp21	4	herb
B16	Sp65	4	herb
B17	Sp21	5	ctrl
B18	Sp65	5	ctrl
B19	Sp21	5	herb
B20	Sp65	5	herb
B21	Sp21	6	ctrl
B22	Sp65	6	ctrl
B23	Sp21	6	herb
B24	Sp65	6	herb
B25	Sp21	7	ctrl
B26	Sp65	7	ctrl
B27	Sp21	7	herb
B28	Sp65	7	herb
B29	nc	nc	nc
