sampleID	group	pond	cage	genotype	mix_type	L-Alanine	L-Arginine	L-Asparagine	L-Aspartic Acid	L-Glutamic acid	L-Glutamine	L-Isoleucine_1	L-Leucine_2	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophane	L-Valine	Glycine	L-Histidine	L-Tyrosine	Tyramine	Tryptamine	Shikimic acid	Apigenin	Luteolin	IP	IPR	tZ	tZR	cZ	cZR	IAA	Cinnamic acid	Coumaric acid_p	Caffeic acid	Sinapic acid	ABA	SA	JA	JA-Ile	OPDA	Glucose	Fructose	Sucrose	Starch	Cyanidin 3-O-glc	Cyanidin-3-O-(6-O-malonyl-beta-glc)	Chlorogenic acid	Luteolin 7-O-glc	Luteolin 8-C-glc	Apigenin 7-O-glc	Apigenin 8-C-glc	putative Chlorogenic acid isomere
19	w8	1	control	mix	none	2.644472449	17.6783697	210.6312778	24.80089786	16.7017008	17.24677442	1.176450054	0.444211159	1.079847833	0.444756119	3.454554168	3.335182896	0.983746903	1.937400562	0.767102686	0.917766114	0.304721276	0.285032235	0.195171558	2.490076047	0.001994204	0.016886453	10.65064896	20.11979617	10.25420516	11.61759746	5.088702706	52.01954671	369.1229958	8.930926326	2005.464379	1037.90928	1882.50652	564.6996148	998.9450947	130.5594012	23.32427376	9237.253832	4.715668455	12.30468455	24.67792894	64.03756108	2.415513199	1637.069307	3.672781626	10.742126	9.84313606	3.358248772	10.40137503	1.293231881
20	w8	1	herbivory	mix	none	3.059048758	19.43980246	158.2711435	22.27070291	17.3036205	19.24226216	1.579920303	0.5775326	1.070749973	0.464194313	3.570867705	3.387818987	1.247115615	2.14651255	0.708261543	1.004151936	0.425368203	0.512251318	0.226995875	3.934355917	0.002009867	0.01940577	10.06429468	17.11981764	13.24487969	12.63884077	5.266669333	49.6572012	431.2276479	10.115546	4608.028329	912.7603078	1902.746694	678.9869567	933.5117219	175.8069799	24.58126794	11686.74864	5.255551916	9.413899907	25.23027948	84.06864624	3.928577743	1818.44898	1.877054973	11.43417892	11.58656424	2.720207376	9.957227722	0.963938996
21	w8	2	control	mix	none	3.05383423	24.0850359	235.2882495	22.56240843	16.17159727	22.49694533	1.335171708	0.422906924	2.328845576	0.340194902	4.46020528	3.808154549	1.80408251	2.446992167	0.996536112	1.298314418	0.262983291	0.163776181	0.067471611	1.115555704	0.000898581	0.007613109	4.235828923	21.31814892	11.27977864	15.71577318	7.574296419	42.3168941	1061.011377	11.32806686	1702.572246	791.0713518	2224.806254	143.8869361	707.3938995	97.71636696	39.43082115	7035.227857	4.894436338	6.68589826	21.53186659	84.24144253	1.575587411	1128.329897	4.655005313	6.660035693	6.395164632	2.871471877	9.941617792	1.527604624
22	w8	2	herbivory	mix	none	3.701041242	35.05533598	177.5351304	22.94548954	18.64730626	22.09557021	1.276786844	0.382142615	1.579584204	0.393781659	4.298258967	3.795382814	1.445705493	2.435189105	0.749747099	1.395843326	0.260145549	0.317753017	0.209428714	2.272315241	0.000872475	0.014511195	5.104916093	22.29904468	13.60431402	15.10451661	4.98440811	47.46934295	655.3554304	9.552284349	2593.88179	532.1295977	1790.637517	157.2702173	747.7836501	294.93225	60.31695478	26000.56425	5.498112573	9.798937929	25.91694339	73.56760741	2.970664626	1551.128713	2.08017731	10.66386847	10.16535214	2.935261841	9.373859353	1.273662962
23	w8	3	control	mix	none	3.445158864	23.86234924	269.6694844	24.14638467	18.42969949	20.31534092	1.246887871	0.381780558	2.068413622	0.374815637	5.780461162	3.935655285	1.764175883	2.381408823	0.905711803	1.276296822	0.228721339	0.15207264	0.029152724	1.252008993	0.0013771	0.010846599	4.807658344	31.89991164	12.31951569	18.41682688	3.975662315	50.73083398	895.2694792	11.51613098	1767.723151	755.9639801	1922.552775	90.64147742	669.748994	204.2506353	54.20056445	7237.154092	7.013491669	12.40068909	23.42346361	53.30277727	1.728729114	1545.795918	4.322963355	9.003478281	7.96882382	3.545067595	10.30858155	1.695126219
24	w8	3	herbivory	mix	none	4.70236848	23.08893334	216.7114139	29.95941793	21.51887333	19.48972747	1.881489194	0.644597804	1.451085124	0.407678854	6.701104312	4.098542722	1.446728166	3.139293633	0.747621946	1.386908217	0.383057677	0.420004024	0.091852429	2.769717016	0.002630513	0.019847213	6.920974138	29.61187524	11.16598983	19.50456671	4.663900676	54.87312459	582.1851504	9.67210284	4240.007543	509.8497692	2791.4558	121.4268683	844.4516452	3581.2933	850.6914446	74086.0142	5.872139861	7.643208491	23.98179864	35.26921623	3.774596758	1912.56	1.763874111	11.41496052	11.19996432	2.717239465	8.310467644	1.12757928
25	w8	4	control	mix	none	4.140912322	16.62925998	174.4728739	23.65156804	19.7640942	18.11227755	1.573278528	0.458270673	1.405127537	0.348862377	5.526462706	3.430248933	0.943615636	2.521012151	0.841769215	0.924688528	0.25989077	0.142890595	0.07422953	1.722189289	0.001899049	0.021868811	6.872731496	55.17542555	15.02960987	29.95776699	5.889033053	56.57111792	731.4742715	8.608361231	2878.567867	954.3528744	3104.018931	61.78326353	931.009875	196.6994997	43.23528737	33943.42582	10.53523602	12.92272389	19.67793155	29.93088899	1.554591332	1372.20202	2.836747685	9.52132503	8.380337565	3.212101589	8.888178702	1.170370833
26	w8	4	herbivory	mix	none	4.476440052	20.18266708	260.6517495	25.55982939	18.80112817	19.51827258	1.615219403	0.46623933	1.781039936	0.345662186	6.672663785	4.367572437	2.001129482	2.619225653	1.046750037	1.330086305	0.300091796	0.327139544	0.046760146	1.755627363	0.001174788	0.013540665	4.846840636	27.50803483	9.777015286	14.802082	4.358547066	48.73302512	833.0257446	9.383297465	2642.030444	644.9794546	1955.919857	43.98014963	715.0819355	260.9578002	70.89792304	98480.28287	6.391208714	10.59673737	26.33684447	41.83454689	2.711012213	1685.960784	2.925977128	10.38404924	9.733690523	3.145381377	9.998648611	1.459284886
27	w8	5	control	mix	none	3.258436518	23.16608189	283.3329767	22.83139562	14.76204957	24.88739046	3.894309773	1.424279156	4.217619337	0.318371332	5.743418164	4.576583692	3.025980023	5.230634936	1.167613214	2.123539515	0.474392877	0.327432779	0.306397599	2.361856731	0.001620281	0.011744059	3.544466444	19.73545208	7.459895624	9.04835356	3.362734684	53.21643718	1051.189481	10.78556846	1960.306527	1042.047789	1588.736251	129.868013	778.3850873	138.2405066	36.85532793	10178.10905	5.960584374	13.83519875	25.50322946	92.00929386	2.148792908	1821.89899	4.157050977	9.433196319	8.262111728	3.831272623	11.08788986	1.928599772
28	w8	5	herbivory	mix	none	2.868398744	28.51655476	139.0913625	15.99012479	12.38522393	16.2854256	2.52051688	0.848000779	1.824243942	0.212981133	3.289208652	3.154434972	2.165604944	3.511377049	0.694699333	1.230075526	0.386072437	0.213373575	0.122555814	2.440618094	0.011640788	0.160009678	3.582089678	6.120826101	9.894652364	6.92001019	3.984469929	32.72288321	456.1654528	6.872377945	2293.10041	501.9903343	1808.727641	202.4019428	616.4622596	161.5092255	27.26226736	10804.59647	5.977943897	13.75438692	32.91389124	120.4453059	4.493764009	1870.383838	1.081740977	12.2801682	11.3795973	2.711980343	6.692579152	1.250067388
