sampleID	group	pond	cage	L-Alanine	L-Arginine	L-Asparagine	L-Aspartic Acid	L-Glutamic acid	L-Glutamine	L-Isoleucine_1	L-Leucine_2	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophane	L-Valine	Ornithine	Glycine	L-Histidine	L-Methionine	L-Tyrosine	Tyramine	Tryptamine	Shikimic acid	Apigenin	Luteolin	IP	IPR	tZ	tZR	cZ	cZR	IAA	Coumaric acid_p	Caffeic acid	Sinapic acid	ABA	SA	JA	JA-Ile	OPDA	Glucose	Fructose	Sucrose	Starch	Cyanidin 3-O-glc	Cyanidin-3-O-(6-O-malonyl-beta-glc)	Chlorogenic acid	Luteolin 7-O-glc	Luteolin 8-C-glc	Apigenin 7-O-glc	Apigenin 8-C-glc	putative Chlorogenic acid isomere
15	round2	1	control	2.27003863	24.65094168	108.8361343	15.83600176	8.237320412	5.992769136	1.006209111	0.294716712	0.930878505	0.222363653	3.126599078	3.249993388	0.783441551	1.813790637	9.042491886	0.69710607	0.806252418	0.068254064	0.220244215	0.05072453	0.017133205	4.788575777	0.005464239	0.033445377	10.06641882	6.061962207	9.640208313	9.99430196	1.962336079	37.47384416	353.8453727	9707.138987	286.7281967	1131.395112	36.66660482	62450.01134	286.8088568	89.86464882	10521.28105	6.316025862	5.3825071	21.11046567	93.62389383	15.48330964	12.70334632	0.778976662	25.40280363	22.45579034	3.639054872	9.65867566	1.980192988
16	round2	1	herbivory	2.416107813	20.43446609	152.5698873	13.8112288	7.220175635	3.411896252	1.066896923	0.306953985	0.457649156	0.208282569	2.962001723	2.870121833	0.792180835	1.501363267	11.56165301	0.681809211	0.512798664	0.088843486	0.174154823	0.073190274	0.014921958	4.551975791	0.010307562	0.070711389	12.63064825	4.265462815	6.516118278	6.810632406	2.101794248	53.7372681	161.8877119	9587.000165	257.6402259		25.32810381	100655.9733	438.8628897	284.8207022	10861.60613	4.887839935	3.221801541	18.52562168	90.64301972	15.43806915	8.830248507	2.416160018	20.79140562	24.36462958	4.612559273	25.96548165	2.876242422
17	round2	2	control	1.96737831	60.30058022	131.7636596	16.58046633	7.313457499	5.883448199	1.41030089	0.442087761	0.707547944	0.189768692	2.149172088	3.650911221	0.982945781	2.090764799	12.64882589	0.903366823	0.992934517	0.084037172	0.250795132	0.029419343	0.01402508	4.40909938	0.006328936	0.065188125	8.787813935	3.864648869	7.29558338	7.317548099	1.494269517	39.45605244	118.4539261	8028.635818	163.9645848	753.3599108	19.35809213	22241.43334	536.6698814	294.6756021	14067.40217	4.176604691	4.024996079	19.27115811	69.95481477	13.24021007	9.453936775	0.598344392	23.11810276	21.1828496	3.148046955	9.395690075	2.01676615
18	round2	2	herbivory	1.613177355	10.48125724	109.8912596	12.12086809	7.550095535	4.963478522	0.785228411	0.263166129	0.458347758	0.246314728	2.517249298	2.86493926	0.739596568	1.311334646	7.908578647	0.538736649	0.489768839	0.064757396	0.157792951	0.094164398	0.017110258	4.785937077	0.001784993	0.024747739	8.857918767	4.531285514	9.548345221	6.474275506	1.556722117	38.34225767	171.4087765	11376.30584	266.0051733	428.7230896	24.04084557	22671.54844	250.9882424	116.2874262	16091.0532	4.80015385	2.402239449	16.22495035	46.58933065	14.68519609	7.731954252	1.561146318	20.14110506	23.54352211	3.22892181	15.59514849	2.243351881
19	round2	3	control	1.612771868	33.83760269	116.4489608	15.2590127	7.661837944	3.743579075	0.993622584	0.298718266	0.583868236	0.23405849	2.399564383	3.686494736	0.717959641	1.583034112	10.59097646	0.704525734	0.765678762	0.06607459	0.202465021	0.034853718	0.017664603	4.887090183	0.001388098	0.016146172	7.538353933	5.067917034	7.578517678	6.489277897	0.989804833	38.53476024	142.1878609	9165.52647	204.2225706	882.4145522	15.21369284	26003.24097	108.3304107	39.48228569	8565.350521	4.270073901	3.641313949	18.52176033	55.93581149	11.47467414	8.692677361	1.17821503	17.58248888	17.48264572	2.812527888	8.494959307	2.370907626
20	round2	3	herbivory	0.792016817	5.163834754	104.3040742	8.966145089	4.617410403	3.450762707	1.122828464	0.3843806	0.56644447	0.110032746	1.66785086	2.084774473	1.316273711	1.580794615	7.383762652	0.413293678	0.427000516	0.123724003	0.238966928	0.148457199	0.04698439	4.344260503	0.003600998	0.03839213	8.055590969	4.67080546	7.096602926	4.729675101	1.693777698	31.11366774	95.11361556	7510.486044	246.762033		22.01631565	37813.28115	92.59167495	29.71071697	20895.35811	5.769179505	4.388747528	17.80092277	141.9529142	17.23402135	9.266973638	0.955712549	18.5782682	23.29487433	3.837332533	21.0756926	2.48678501
21	round2	4	control	1.633536088	25.1726831	82.53039834	11.51418506	6.970794185	2.151293789	0.880342754	0.241534513	0.490451818	0.189100897	1.83068434	2.75558757	0.692638426	1.271120514	6.540043652	0.661129224	0.50429966	0.065324426	0.147683324	0.018541237	0.008675296	4.697286456	0.00162866	0.015192821	8.257333377	4.474824538	8.058831526	5.78177636	1.270637078	35.17619265	125.9230728	9751.118129	142.1407984	472.1027822	26.00167486	29276.23313	131.3622024	54.48380196	21534.04998	4.79878714	2.709977926	16.63107461	97.47370178	11.88959557	10.16847975	2.047387083	16.67125836	17.02337566	2.872019801	12.37673107	2.511096979
22	round2	4	herbivory	1.166611972	7.035002215	130.8697991	10.43835591	5.369046901	3.170476455	1.050633866	0.397125551	0.576760466	0.152575529	1.908173833	2.612493337	1.293076989	1.52108958	8.231307165	0.463408114	0.380932819	0.112006923	0.233390087	0.126563514	0.024561156	3.591142299	0.008097449	0.110255491	5.74298802	4.493761405	6.372939099	4.808220307	1.267945116	32.56294002	119.5633483	7584.824262	166.3406615		27.85530989		147.0040087	45.63890493	11396.91915	4.817551763	3.615210451	17.34555075	149.6020298	15.0401641	7.958967589	1.277642881	16.52750262	21.47496117	3.722711541	23.89542171	3.196008301
23	round2	7	control	2.221117305	23.444777	100.5981234	14.55836539	7.970472217	6.026151311	1.07297256	0.285977516	0.892456291	0.224846588	3.206287309	3.527990457	0.767196279	1.756105826	9.492837082	0.720750679	0.83066147	0.055391498	0.210459368	0.050434589	0.01704582	4.583007179	0.006209683	0.035483045	10.03325975	6.070163338	10.36080667	9.363681754	1.974177925	35.67034236	372.3027331	9363.390866	278.7565229	1159.388601	42.56122993	68935.29834	291.0997131	90.76861296	9977.981548	6.22702613	5.291493444	21.3902372	68.53424868	11.46487356	10.45246408	1.685216968	18.05351792	17.25857532	3.471525468	11.12556716	2.845309744
24	round2	7	herbivory	2.968495599	12.48712746	100.9601073	16.98289152	9.115876217	5.458454211	0.953906822	0.311982516	0.593824905	0.20105481	3.814422691	2.651446586	0.816415179	1.559765922	9.318136286	0.608632956	0.583340928	0.056061222	0.207166778	0.063223493	0.012049943	4.573009122	0.006744759	0.067432493	13.78947199	7.571501622	11.71556742	8.615223273	2.572254577	47.21536029	465.3882641	15611.52611	361.8178341	962.3895395	34.34474919	36900.64328	277.0660564	53.74369016	20001.0815	6.067224484	3.409522326	17.77886005	37.35176227	12.91233213	8.700055246	1.652475357	18.60641665	20.27237051	3.358157177	13.19536464	2.498527469
