week	pond	cage	treat	treatment	week_treatment	Cl	NO2	NO3	PO4	SO4	Na	NH4	K	Ca	Mg	pH
week00	pond01	a	control	week00_pond01_a	week00a	30.889	3.039	0.501	0.255	15.972	25.574	5.131	32.641	36.924	5.073	
week00	pond02	a	control	week00_pond02_a	week00a	36.04	3.472	0.38	0.217	18.609	29.711	6.609	40.368	38.552	5.169	
week00	pond03	a	control	week00_pond03_a	week00a	31.811	3.218	0.401	0.195	20.909	29.014	4.898	41.516	41.321	5.06	
week00	pond04	a	control	week00_pond04_a	week00a	36.732	3.531	0.369	0.708	24.888	32.929	6.848	48.942	43.626	4.815	
week00	pond05	a	control	week00_pond05_a	week00a	32.804	3.251	0.405	0.451	24.025	29.697	5.36	43.105	42.659	5.156	
week00	pond06	a	control	week00_pond06_a	week00a	29.586	2.998	0.431	0.203	16.772	24.675	4.723	30.875	36.57	5.208	
week00	pond07	a	control	week00_pond07_a	week00a	31.38	3.183	0.411	0.2	15.457	27.411	6.075	39.417	34.462	4.846	
week00	pond08	a	control	week00_pond08_a	week00a	35.268	3.561	0.388	0.267	17.485	28.789	7.053	38.866	33.577	4.698	
week00	pond09	a	control	week00_pond09_a	week00a	33.101	3.307	0.415	0.234	19.616	27.386	6.277	36.314	35.955	4.843	
week00	pond10	a	control	week00_pond10_a	week00a	31.895	3.28	0.449	0.193	20.823	25.7	4.901	31.793	38.372	5.475	
week00	pond01	b	herbivory	week00_pond01_b	week00b	30.889	3.039	0.501	0.255	15.972	25.574	5.131	32.641	36.924	5.073	
week00	pond02	b	herbivory	week00_pond02_b	week00b	36.04	3.472	0.38	0.217	18.609	29.711	6.609	40.368	38.552	5.169	
week00	pond03	b	herbivory	week00_pond03_b	week00b	31.811	3.218	0.401	0.195	20.909	29.014	4.898	41.516	41.321	5.06	
week00	pond04	b	herbivory	week00_pond04_b	week00b	36.732	3.531	0.369	0.708	24.888	32.929	6.848	48.942	43.626	4.815	
week00	pond05	b	herbivory	week00_pond05_b	week00b	32.804	3.251	0.405	0.451	24.025	29.697	5.36	43.105	42.659	5.156	
week00	pond06	b	herbivory	week00_pond06_b	week00b	29.586	2.998	0.431	0.203	16.772	24.675	4.723	30.875	36.57	5.208	
week00	pond07	b	herbivory	week00_pond07_b	week00b	31.38	3.183	0.411	0.2	15.457	27.411	6.075	39.417	34.462	4.846	
week00	pond08	b	herbivory	week00_pond08_b	week00b	35.268	3.561	0.388	0.267	17.485	28.789	7.053	38.866	33.577	4.698	
week00	pond09	b	herbivory	week00_pond09_b	week00b	33.101	3.307	0.415	0.234	19.616	27.386	6.277	36.314	35.955	4.843	
week00	pond10	b	herbivory	week00_pond10_b	week00b	31.895	3.28	0.449	0.193	20.823	25.7	4.901	31.793	38.372	5.475	
week02	pond01	a	control	week02_pond01_a	week02a	28.775	5.086	1.542	0.883	11.834	25.219	6.954	32.117	36.534	5.043	7.38
week02	pond02	a	control	week02_pond02_a	week02a	33.321	6.179	1.083	0.332	13.994	29.17	7.992	39.244	36.457	5.006	7.34
week02	pond03	a	control	week02_pond03_a	week02a	29.083	6.618	1.85	0.406	15.378	26.242	4.279	37.13	35.51	4.665	7.25
week02	pond04	a	control	week02_pond04_a	week02a	34.612	6.581	0.546	0.675	23.39	32.186	8.057	48.474	44.201	4.736	7.4
week02	pond05	a	control	week02_pond05_a	week02a	25.472	4.737	0.48	0.8	16.095	27.033	6.642	40.695	40.78	4.727	7.71
week02	pond06	a	control	week02_pond06_a	week02a	28.21	5.375	1.278	0.458	10.896	24.517	5.85	30.39	36.053	5.235	7.24
week02	pond07	a	control	week02_pond07_a	week02a	28.304	5.339	0.995	0.495	9.329	26.754	7.162	39.473	32.457	4.532	7.32
week02	pond08	a	control	week02_pond08_a	week02a	32.923	7.065	1.229	0.547	11.48	28.349	8.014	37.817	31.128	4.625	7.16
week02	pond09	a	control	week02_pond09_a	week02a	28.032	6.618	1.001	0.528	11.644	26.743	7.028	35.218	35.089	4.812	7.19
week02	pond10	a	control	week02_pond10_a	week02a	29.759	5.805	0.888	0.377	14.566	25.281	6.255	30.995	36.416	5.486	7.27
week02	pond01	b	herbivory	week02_pond01_b	week02b	28.797	4.618	1.371	0.687	11.642	25.243	7.109	32.587	35.991	5.057	7.34
week02	pond02	b	herbivory	week02_pond02_b	week02b	35.247	4.301	0.907	0.304	13.7	20.631	6.265	27.798	25.964	3.586	7.23
week02	pond03	b	herbivory	week02_pond03_b	week02b	29.448	7.163	1.763	0.239	15.406	28.132	4.44	43.394	39.096	5.053	7.26
week02	pond04	b	herbivory	week02_pond04_b	week02b	32.175	5.936	0.516	0.574	21.459	23.719	6.418	36.535	32.492	3.469	7.41
week02	pond05	b	herbivory	week02_pond05_b	week02b	30.132	5.412	0.404	0.8	19.812	29.107	7.075	43.821	44.137	5.001	7.7
week02	pond06	b	herbivory	week02_pond06_b	week02b	27.026	4.807	1.109	0.58	10.382	24.195	5.849	30.037	35.716	5.241	7.25
week02	pond07	b	herbivory	week02_pond07_b	week02b	28.195	5.403	1.013	0.416	9.428	26.699	7.096	39.484	32.456	4.536	7.33
